database,schema,table,row_count,total_mb,used_mb
Megatron,dbo,zzz_BlogTitles,590,0.546875,0.468750
Megatron,dbo,CarFax_ResultLog,586,1.257812,1.250000
Megatron,dbo,MakeSynonym,574,0.039062,0.039062
Megatron,dbo,PartnerRules,560,0.031250,0.031250
Megatron,dbo,zzz_ListingPromoCode,555,0.125000,0.078125
Megatron,dbo,zzz_CurrentADAccountOffice,546,0.070312,0.070312
Megatron,dbo,_OverwriteDupeAccount_Log,538,0.093750,0.039062
Megatron,dbo,FBCatalogStatus,537,0.140625,0.062500
Megatron,dbo,zzz_ptest,526,4.031250,4.023437
Megatron,dbo,NCTDMakeModel,525,0.031250,0.031250
Megatron,dbo,zzz_Dealervault_XLS_Match,519,0.140625,0.085937
Megatron,dbo,obr_PowerListing_Raw_Summary,515,0.265625,0.242187
Megatron,dbo,DealerShips,510,0.140625,0.101562
Megatron,dbo,EmailBySource,503,0.031250,0.031250
Megatron,dbo,AccountPermissions,502,0.070312,0.031250
Megatron,dbo,zzz_craigslist_AZ_201706,500,0.140625,0.117187
Megatron,dbo,obr_Flight_Info_V10_pl,499,0.132812,0.117187
Megatron,dbo,zzz_CoBrandURL,499,0.140625,0.093750
Megatron,dbo,Make,498,0.039062,0.039062
Megatron,dbo,obr_Flight_Info_V7_pl,497,0.625000,0.335937
Megatron,dbo,_Advertiser_Alt_ID,488,1.640625,1.187500
Megatron,dbo,CurrentFBPageAccess,477,0.195312,0.148437
Megatron,dbo,ADPActiveCampaign,470,0.054687,0.054687
Megatron,dbo,zzz_BlogCategory,457,0.031250,0.031250
Megatron,dbo,obr_DisplayClicks,453,0.195312,0.085937
Megatron,dbo,CityGridRateCard,450,0.039062,0.039062
Megatron,dbo,CraigslistAdvertisers,429,0.031250,0.031250
Megatron,dbo,CraigslistBucket,410,0.039062,0.039062
Megatron,dbo,Merge_Campaigns,396,0.070312,0.070312
Megatron,dbo,CraigslistAdvertisers_BU,394,0.023437,0.023437
Megatron,dbo,zzz_ListingBypass,375,0.023437,0.023437
Megatron,dbo,zzz_ratchetlocalmigration_yextclientid,372,0.031250,0.031250
Megatron,dbo,PrintTranslateUpdates,370,0.078125,0.062500
Megatron,dbo,CharterView,360,0.148437,0.101562
Megatron,dbo,LeadsRaw,354,0.031250,0.031250
Megatron,dbo,Craigslist_Burn,351,1.765625,1.742187
Megatron,dbo,_OutboundMasterOther,347,1.757812,1.757812
Megatron,dbo,zzz_OnionSales,347,0.070312,0.054687
Megatron,dbo,DupeDealix,343,0.023437,0.023437
Megatron,dbo,SmartPowerInventory,331,0.132812,0.031250
Megatron,dbo,AreaCode,328,0.031250,0.031250
Megatron,dbo,CraigslistAdvertisers_BU2,326,0.023437,0.023437
Megatron,dbo,zzz_PlatformAuto_Monster_Results,322,0.335937,0.218750
Megatron,dbo,LeadqueuePartial,317,1.359375,0.929687
Megatron,dbo,zzz_ReplcatedTables_JO,315,0.023437,0.023437
Megatron,dbo,obr_Flight_Info_V10,312,0.132812,0.070312
Megatron,dbo,obr_Flight_Info_V7,310,0.523437,0.242187
Megatron,dbo,FeedToPrintAttributeManager,306,0.015625,0.015625
Megatron,dbo,zzz_ResellerBilling,306,0.140625,0.085937
Megatron,dbo,zzz_The3Rep2TMPi_Accounts,305,0.164062,0.109375
Megatron,dbo,PerformanceTargetAccounts,287,0.078125,0.039062
Megatron,dbo,CraigslistMapping,281,0.031250,0.031250
Megatron,dbo,_OutboundMasterAccount,277,0.070312,0.054687
Megatron,dbo,zzz_Branding,276,0.015625,0.015625
Megatron,dbo,zzz_SilverPop_Buyer_Account,270,0.085937,0.046875
Megatron,dbo,zzz_CM_Revisions,269,12.500000,12.445312
Megatron,dbo,zzz_RiskWordsByCategory,268,0.031250,0.031250
Megatron,dbo,MissingRatchetDisplayCreative,267,0.054687,0.054687
Megatron,dbo,zzz_ListingApproval,259,0.015625,0.015625
Megatron,dbo,Countries,249,0.015625,0.015625
Megatron,dbo,zzz_PlatformAutoDataForCompare_OLD,247,0.078125,0.078125
Megatron,dbo,FeedToPrintManager,244,0.031250,0.031250
Megatron,dbo,zzz_GmailAccount,241,0.070312,0.039062
Megatron,dbo,XML_CRMEmails,240,0.070312,0.023437
Megatron,dbo,zzz_AttributeSearch,240,0.031250,0.031250
Megatron,dbo,CountryCode,239,0.015625,0.015625
Megatron,dbo,MAIACustomDealers,235,0.070312,0.046875
Megatron,dbo,FeedReactivates,233,0.070312,0.015625
Megatron,dbo,zzz_ContactTraceData,230,0.031250,0.031250
Megatron,dbo,zzz_DealerVault_SV_TEMP,229,0.515625,0.445312
Megatron,dbo,zzz_RateRegionPrintEditions,225,0.031250,0.031250
Megatron,dbo,zzz_SponsoredSearch,225,0.046875,0.046875
Megatron,dbo,DMA,220,0.039062,0.039062
Megatron,dbo,AdvertiserSubscriptions,218,0.031250,0.031250
Megatron,dbo,CharterCustomerMissingDates_feeds,214,0.015625,0.015625
Megatron,dbo,zzz_CG_Main,213,0.390625,0.351562
Megatron,dbo,zzz_CG_Missing,210,0.039062,0.039062
Megatron,dbo,Make_Long,209,0.015625,0.015625
Megatron,dbo,zzz_CG_Offer,202,0.039062,0.039062
Megatron,dbo,MerchantAccountStatus,198,0.203125,0.132812
Megatron,dbo,_Schedule,197,0.015625,0.015625
Megatron,dbo,zzz_RateRegion,197,0.171875,0.117187
Megatron,dbo,MAIACampaigns,194,0.070312,0.031250
Megatron,dbo,zzz_jc_aso_ratchetaccess,194,0.015625,0.015625
Megatron,dbo,HeaderInfo,183,0.062500,0.062500
Megatron,dbo,ClassCombo,182,0.015625,0.015625
Megatron,dbo,zzz_KeywordRedirection,176,0.039062,0.039062
Megatron,dbo,obr_Campaign_Info_V6,173,0.070312,0.046875
Megatron,dbo,SubClass,169,0.039062,0.039062
Megatron,dbo,CraigslistValues,168,0.015625,0.015625
Megatron,dbo,AdvertiserChange,166,0.070312,0.046875
Megatron,dbo,DMAtoZIP,161,0.023437,0.023437
Megatron,dbo,Model_Long,160,0.015625,0.015625
Megatron,dbo,AccountSecurityOptions,159,0.039062,0.039062
Megatron,dbo,obr_CustomerList_v6,154,0.070312,0.023437
Megatron,dbo,obr_CustomerList_v6_Short,154,0.132812,0.023437
Megatron,dbo,ResellerCompanyCanUseService,154,0.015625,0.015625
Megatron,dbo,PlatformAuto_UTM_Mapping,150,0.078125,0.046875
Megatron,dbo,zzz_rptMarketingNewsletter_PL_OD,146,0.039062,0.039062
Megatron,dbo,ClientGroupSubscription,143,0.070312,0.015625
Megatron,dbo,zzz_Spectrum_RollOver_Data,139,0.070312,0.070312
Megatron,dbo,zzz_Attribute,137,0.015625,0.015625
Megatron,dbo,obr_PhoneLeads_V10,132,0.132812,0.023437
Megatron,dbo,obr_PhoneLeads_V7,132,0.187500,0.085937
Megatron,dbo,zzz_PreDefinedSearchVariables,123,0.015625,0.015625
