component,subject,total,exceptions,days_active,first_seen,last_seen
SmartQuote,"Value cannot be null.
Parameter name: input",226,226,6,2026-03-26 16:17:47.060000,2026-06-12 10:46:38.197000
customer_contact_upsert,"customer_contact_upsert, Line: 264",199,199,44,2026-03-27 07:07:01.067000,2026-06-11 17:09:01.153000
customer_contact_upsert,"contact_upsert, Line: 107",190,190,44,2026-03-27 07:07:01.067000,2026-06-11 17:09:01.153000
franchise_rep_update_pending_process_2,"franchise_consumer_franchise_rep_upsert, Line: 228",187,187,44,2026-03-27 07:07:01.067000,2026-06-11 17:09:01.153000
RLScriptService,LogSummaryReport.ps1,174,174,3,2026-04-26 12:00:05.750000,2026-04-28 11:00:10.313000
execute_at_2300,Export Franchises Blob,160,0,80,2026-03-26 23:01:00.773000,2026-06-13 23:01:00.967000
execute_at_0300,franchise_vehicle_refresh,160,80,80,2026-03-27 03:02:00.630000,2026-06-14 03:02:00.613000
execute_at_0300,Invoke vehicle_refresh,160,0,80,2026-03-27 03:01:00.207000,2026-06-14 03:01:00.940000
execute_every_60_mins_process,Mid-day franchise_vehicle_refresh,160,80,80,2026-03-27 12:01:00.963000,2026-06-14 12:01:02.173000
execute_at_0300,FranchiseVehicleQuoteRebuild,160,0,80,2026-03-27 03:02:00.630000,2026-06-14 03:02:00.537000
execute_every_60_mins_process,Invoke customer_contact_am_refresh,160,0,80,2026-03-27 10:01:01.520000,2026-06-14 10:01:01.403000
execute_every_60_mins_quick_process,FranchiseVehicleQuoteRebuild,160,0,80,2026-03-27 05:03:00.980000,2026-06-14 05:03:00.993000
execute_every_60_mins_quick_process,Customer Inventory Refresh Started,160,80,80,2026-03-27 00:03:01.193000,2026-06-14 00:03:00.797000
execute_at_0300,franchise_vehicle_quote_honda_acura_refresh,160,0,80,2026-03-27 03:02:00.630000,2026-06-14 03:02:00.537000
execute_at_0300,Invoke oem_vehicle_locator_search_key_subregion_mfg_code_refresh,160,0,80,2026-03-27 03:01:00.287000,2026-06-14 03:01:01.033000
execute_at_2300,Export Customers Blob,160,0,80,2026-03-26 23:01:00.773000,2026-06-13 23:01:00.950000
RLScriptService,FranchiseVehicleQuoteRebuild.ps1,160,0,80,2026-03-27 03:01:33.240000,2026-06-14 05:04:50.840000
execute_at_0300,franchise_vehicle_add_remove_refresh,160,0,80,2026-03-27 03:01:00.330000,2026-06-14 03:02:00.537000
execute_at_0300,Invoke preparation_process Procedures,160,0,80,2026-03-27 03:01:00.330000,2026-06-14 03:01:01.033000
franchise_vehicle_refresh,"franchise_vehicle_refresh, Line: 13",160,160,80,2026-03-27 03:02:00.723000,2026-06-14 12:01:02.173000
execute_every_60_mins_process,Invoke vehicle_config_import_process,158,0,79,2026-03-27 22:01:00.450000,2026-06-13 22:01:00.727000
execute_at_2300,Mark Off Test Leads,158,0,80,2026-03-26 23:01:00.710000,2026-06-13 23:01:00.950000
execute_every_60_mins_process,Invoke vehicle_config_download_process,158,0,79,2026-03-27 21:01:01.397000,2026-06-13 21:01:01.330000
execute_every_60_mins_sa_process,execute_at_2300,157,0,80,2026-03-26 23:01:00.633000,2026-06-13 23:01:00.967000
execute_at_2300,Database Maintenance,155,0,78,2026-03-26 23:01:00.650000,2026-06-13 23:01:00.950000
database_maintenance_process,Audit Trail Archive,155,0,78,2026-03-26 23:01:00.680000,2026-06-13 23:01:00.950000
xp_cmdshell,"xp_cmdshell, Line: 1",149,149,76,2026-03-26 23:01:02.133000,2026-06-13 23:01:01.467000
contact_upsert,"contact_upsert, Line: 51",142,142,43,2026-03-27 07:07:01.050000,2026-06-11 17:09:01.153000
franchise_consumer_alias_process,"franchise_consumer_alias_upsert, Line: 90",128,128,53,2026-03-28 10:34:01.050000,2026-06-13 06:16:03.317000
"PrepareLead, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null",GetFranchiseConsumerAliasRow Failure,128,128,53,2026-03-28 10:34:01.050000,2026-06-13 06:16:03.317000
RLScriptService,6ABBD2DD-125B-4178-A794-6C7FFFB162DD,118,118,33,2026-03-27 10:47:46.150000,2026-06-09 09:19:28.367000
RLScriptService,19AB2F43-DEFE-4875-B16D-3883FE8F0A14,118,118,33,2026-03-27 10:47:45.950000,2026-06-09 09:19:28.150000
RLScriptService,"""",118,118,33,2026-03-27 10:48:08.703000,2026-06-09 09:20:30.507000
RLScriptService,RapidTouchDetailReport.ps1,108,108,2,2026-04-27 01:00:23.470000,2026-04-28 02:30:36.343000
RLScriptService,VehicleConfigErrorMonitor.ps1,105,105,3,2026-04-26 12:00:22.020000,2026-04-28 10:46:08.570000
